cell,rmse,mae,max_abs_error,n_samples
global,0.008877,0.006436,0.045144,1300
cell_01,0.008261,0.006071,0.025934,100
cell_02,0.006267,0.004824,0.032762,100
cell_03,0.006346,0.004956,0.026036,100
cell_04,0.007172,0.004726,0.024079,100
cell_05,0.00791,0.006211,0.023346,100
cell_06,0.008035,0.006745,0.019448,100
cell_07,0.00767,0.006437,0.022032,100
cell_08,0.013853,0.012191,0.025055,100
cell_09,0.012826,0.009816,0.030155,100
cell_10,0.00709,0.004749,0.030989,100
cell_11,0.00522,0.003984,0.016255,100
cell_12,0.011151,0.005848,0.045144,100
cell_13,0.008999,0.007104,0.025053,100
